name,plan_date,uc_id
Jagu Wala,6,103
Jagu Wala,7,103
Rasool Pur,8,103
Rasool Pur,9,103
Rasool Pur,10,103
Rasool Pur,13,103
Rasool Pur,14,103
Rasool Pur,15,103
Rosa Tiba,16,103
Rosa Tiba,17,103
Rosa Tiba,20,103
Rosa Tiba,21,103
Rosa Tiba,22,103
Ali Pur,23,103
Ali Pur,24,103
Veeram,27,103
Veeram,28,103
Veeram,29,103
Veeram,30,103
Hussain Wala Chak Number-8,1,104
Hussain Wala Chak Number-8,2,104
Hussain Wala Chak Number-8,3,104
Hussain Wala Chak Number-8,6,104
Hussain Wala Chak Number-8,7,104
Goharh Chak Number-8,8,104
Goharh Chak Number-8,9,104
Goharh Chak Number-8,10,104
Jodah Singh,13,104
Jodah Singh,14,104
Jodah Singh,15,104
Dhana,16,104
Dhana,17,104
Khabir Sharif,20,104
Khabir Sharif,21,104
Khabir Sharif,22,104
Bola Kari,23,104
Bola Kari,24,104
Javed Nagar,27,104
Javed Nagar,28,104
Javed Nagar,29,104
Javed Nagar,30,104
Deso Wala,1,105
Kot Nawab,2,105
Alim Wala,3,105
Kot Watwan,6,105
Gala Noala,7,105
Gala Noala,8,105
Adda Panuh Singh,9,105
Kot Neena,10,105
Kot Foji,13,105
Mianwala Ghat,14,105
Gurdas Wala,15,105
Kot Ratan Singh,16,105
Masjra,17,105
Mahna Singh,20,105
Bhatta Jatt,21,105
Kot Gamma,22,105
Mathi Khui,23,105
Kot Boota Singh,24,105
Kot Talab,27,105
Harjoki,28,105
Harjoki,29,105
Harjoki,30,105
Niar Haman Pura,1,106
Niar Haman Pura,2,106
Terath,3,106
Kot Hasan Muhammad,6,106
Wan Khara,7,106
Wan Khara,8,106
Wan Khara,9,106
Wan Khara,10,106
Wan Khara,13,106
Wan Khara,14,106
Wan Khara,15,106
Puran Rahman Pura,16,106
Puran Rahman Pura,17,106
Ahlo Wal Road,20,106
Ahlo Wal Road,21,106
Ahlo Wal Road,22,106
Ishaq Town,23,106
Mashallah Colony,24,106
Mashallah Colony,27,106
Kot Rao,28,106
Firdos Colony,29,106
Kot Rao,30,106
Chak Number 18,1,107
Chak Number 18,2,107
Chak Number 18,3,107
Chak Number 18,6,107
Chak Number 18,7,107
Chak Number 17,8,107
Chak Number 17,9,107
Chak Number 17,10,107
Chak Number 17,13,107
Chak Number 17,14,107
Kot Chand Khan,15,107
Kot Chand Khan,16,107
Kot Chand Khan,17,107
Kot Chand Khan,20,107
Chak Number 15,21,107
Chak Number 15,22,107
Chak Number 15,23,107
Chak Number 15,24,107
Changa Manga,27,107
Block Number 3,28,107
"Block Number 1,5",29,107
"Block Number 4,2",30,107
Muhammadi Pura,1,108
Muhammadi Pura,2,108
Muhammadi Pura,3,108
Veer Singh,6,108
Khushal Singh,7,108
Khushal Singh,8,108
Kot Watwan Wala,9,108
Kot Manga Singh,10,108
Narain Sar,13,108
Nawan Kot,14,108
Master Ashraf Khu+Malkan Wala Khu,15,108
Tiba Mandeki,16,108
Kundan Wala Mor+Saketad Area,17,108
Kundan Wala Mor,20,108
Barki Chok 16,21,108
Barki Chok 16,22,108
Kot Dhara Singh,23,108
Mata Sar,24,108
Kot Nathu,27,108
Kot Nathu Sketd Area,28,108
Arjun Singh,29,108
Arjun Singh,30,108
Mukam,1,109
Mukam,2,109
Badhoki,3,109
Badhoki,6,109
Borh Singh,7,109
Gujan Singh,8,109
Gujan Singh,9,109
Gujan Singh,10,109
Bhakogi,13,109
Bhakogi,14,109
Kot Mala,15,109
Machar Pura,16,109
Veer Singh,17,109
Veer Singh,20,109
Tibi Dial Singh,21,109
Tibi Dial Singh,22,109
Tibi Dial Singh,23,109
Tibi Dial Singh,24,109
Garmakh Singh,27,109
Garmakh Singh,28,109
Lehna Singh,29,109
"Mojoki, Kot Wasava Singh",30,109
Farooq Ganj,1,110
Jhok,2,110
Hasan Pura,3,110
Zafar Town,6,110
Cantt Chunian,7,110
Kot Umer Wattu,8,110
Maki Shah,9,110
Hadi Town,10,110
Muhala Talab,13,110
Muhala Zaheer Abad,14,110
Muhala Zaheer Abad,15,110
Muhala Zaheer Abad,16,110
Muhala Zaheer Abad,17,110
Muhala Zaheer Abad,20,110
Canada Colony,21,110
Kowarar,22,110
Kowarar,23,110
Main Bazar,24,110
Faisal Colony,27,110
Rana Town,28,110
Rana Town,29,110
Iqbal Town,30,110
Kot Umer Watu,1,111
Kot Umer Watu,2,111
Muhala Kiu Shala,3,111
Muhala Peer Jahanian,6,111
Muhala Karam Abad,7,111
Muhala Ghosiah Abad,8,111
Muhala Rasool Nagar,9,111
Muhala Khatian Wala,10,111
Muhala Khatian Wala,13,111
Muhala Lamba Khola,14,111
Muhala Sheikhan Wala,15,111
Afsal Town,16,111
Afsal Town,17,111
Muhala Asaian,20,111
Muhala Kasaban,21,111
Muhala Dev Darwaza,22,111
Chok Kharian,23,111
Muhala Purani Tehsil,24,111
Street Peer Jafir Ali Shah,27,111
Nai Abadi Baraf Khana,28,111
Nai Abadi Baraf Khana,29,111
Beroon Qila Rupa Singh,30,111
Ward Number-1,1,112
Ward Number-2,2,112
Ward Number-2,3,112
Ward Number-3,6,112
Ward Number-4,7,112
Ward Number-5,8,112
Ward Number-5,9,112
Ward Number-6,10,112
Ward Number-7,13,112
Ward Number-7,14,112
Ward Number-8,15,112
Ward Number-8,16,112
Ward Number-9,17,112
Ward Number-10,20,112
Ward Number-11,21,112
Ward Number-11,22,112
Ward Number-12,23,112
Ward Number-13,24,112
Ward Number-14,27,112
Ward Number-14,28,112
Ward Number-15,29,112
Ward Number-15,30,112
