name,plan_date,uc_id
Kot Malan Singh,15,25
Kot Moota Singh,16,25
Kot Ganga Singh,17,25
Sayed Pur,20,25
Sayed Pur,21,25
Sayed Pur,22,25
Basti Balochan,23,25
Kot Chairman Suleiman,24,25
Baig Pur,27,25
Kot Khair Deen,28,25
Hardo Sahbani Wala,29,25
Sangra,30,25
Lakhankay Nai Abadi,1,26
Lakhankay Nai Abadi,2,26
Lakahnkay,3,26
Lakahnkay,6,26
Lakahnkay,7,26
Lakahnkay,8,26
Lakahnkay,9,26
Lakahnkay,10,26
Lakahnkay Thay,13,26
Wadnah,14,26
Wadnah,15,26
Wadnah,16,26
Bhalo,17,26
Bhalo,20,26
Bhalo Nai Abadi,21,26
Khara,22,26
Khara,23,26
Khara,24,26
Khara,27,26
Khara,28,26
Khara,29,26
Khara,30,26
Bulandi Autar,1,27
Bulandi Autar,2,27
Gagarh,3,27
Gagarh,6,27
Haweli Bagh Wali,7,27
Kot Araian,8,27
Haweli Munjar Wali,9,27
Badha Singh,10,27
Thay Sheikhum,13,27
Thay Sheikhum,14,27
Thay Sheikhum,15,27
Thay Sheikhum,16,27
Thay Sheikhum,17,27
Today Pur,20,27
Today Pur,21,27
Lakhu Brar,22,27
Lakhu Kalim+Marli Wala,23,27
Nai Wala,24,27
Haweli Jhunday Wali,27,27
Dar Pur,28,27
Kotli Ray Abu Bakar,29,27
Kotli Ray Abu Bakar,30,27
Hari Har,1,28
Hari Har,2,28
Hari Har Basti,3,28
Hari Har,6,28
Dolay Wala Village,7,28
Dolay Wala Village,8,28
Dolay Wala Bridge,9,28
Bahamni Wala Khord,10,28
Bahamni Wala Khord,13,28
bahamni Wala Village,14,28
bahamni Wala Village,15,28
bahamni Wala Village,16,28
Maan,17,28
Maan,20,28
Maan,21,28
Maan Basti,22,28
Bangla Kambuh,23,28
Bangla Kambuh,24,28
Basti Sindhi,27,28
Kaisar Garh,28,28
Kaisar Garh,29,28
Chishti Town,30,28
Chor Kot,1,29
Chor Kot,2,29
Chor Kot,3,29
Kalay Otar,6,29
Kalay Otar,7,29
Shah Inayat,8,29
Shah Inayat,9,29
Dhalam Hithar,10,29
Lonikay,13,29
Dhala Kalan,14,29
Dhala Kalan,15,29
Hardu Muhammad Kay,16,29
Jhagian Chor,17,29
Chunia Otar,20,29
Charagh Deen,21,29
Kot Veer Singh,22,29
Khelji Khalsa,23,29
Kot Asah Singh,24,29
Olakh Hithar,27,29
Maralian Hithar,28,29
Maralian Hithar,29,29
Maralian Hithar,30,29
Jabu Mel,1,30
Jabu Mel,2,30
Jabu Mel Beroon,3,30
Athil Pur,6,30
Athil Pur,7,30
Kot Rahna,8,30
Baghdad Pur + Dars Pura,9,30
Kalay Wala,10,30
Khushal Singh,13,30
Haweli Sufaid Khan+  Amr Wali,14,30
Haweli Hameed Khan+  Bembo Wali,15,30
Haweli Khashmiran Wali,16,30
Basti Jamal Deen,17,30
Basti Suleimanabad,20,30
Basti Suleimanabad+ Bhatta Fauj Khan,21,30
Charaywan,22,30
Aurara Nuh,23,30
Aurara Nuh,24,30
Aurara Nuh,27,30
Aurara Kahna,28,30
Aurara Kahna,29,30
Aurara Kahna,30,30
Piyal Kalan,1,31
Piyal Kalan,2,31
Piyal Kalan,3,31
Piyal Kalan,6,31
Piyal Kalan,7,31
Piyal Kalan,8,31
Piyal Kalan,9,31
Dhang Shah,10,31
Dhang Shah,13,31
Dhang Shah,14,31
Dhang Shah,15,31
Dhang Shah,16,31
Dhang Shah Adda,17,31
Nain Wala Jagir,20,31
Nain Wala Jagir,21,31
Nain Wala Jagir,22,31
Nain Wala Jagir,23,31
Piyal Khord,24,31
Nai Mandi Usman Wala,27,31
Salamat Pura,28,31
Salamat Pura,29,31
Salamat Pura,30,31
Qadi Wind,1,32
Qadi Wind Bhatta,2,32
Targah,3,32
Haweli Nathu Wali Kalan,6,32
Haweli Nathu Wali Khord,7,32
Peer Wala,8,32
Warn,9,32
Patun Kalan,10,32
Patun Kalan,13,32
Bilan Wala,14,32
Nathu Wala,15,32
Rohewal,16,32
Ladhikay,17,32
Logarh Jhagian,20,32
Rang Pur,21,32
Rang Pur,22,32
Haweli Nathu Wali Kalan,23,32
Qadi Wind,24,32
Qadi Wind,27,32
Peeron Wala,28,32
Patun Kalan,29,32
Warn,30,32
Hastay wala,1,33
Najabat,2,33
Rangay Wala,3,33
Sadar+ Dera Jaat,6,33
Johadh Singh Wala,7,33
Johadh Singh Wala,8,33
Manda Matar+ Ganja Border,9,33
Doonah Jaloki+ Beetu Jagir,10,33
Dobarji+ Peer Kanah,13,33
Khaleji Jagir,14,33
Khaleji Jagir,15,33
Sheikh Saad Kalu Wala,16,33
Hardu Sheikh Saad,17,33
Mamu Kay Sharf+ Sanda Khanwan,20,33
Ganja Khord+ Ganja Kalan,21,33
Tatara Kamil,22,33
Rajo Wal,23,33
Rajo Wal,24,33
Atr Singh Wala,27,33
Bakar Kay,28,33
Cha Dhan Wala+ Basti Meenar Wali,29,33
Beeri Ber+ Nathal Kay,30,33
Meer Muhamad,1,34
Meer Muhamad,2,34
Meer Muhamad,3,34
Meer Muhamad,6,34
Meer Muhamad,7,34
Bhatta Jaat,8,34
Bhatta Jaat,9,34
Mana Wala,10,34
Mirzay Wala,13,34
Bonga Ganda Singh Wala,14,34
Aeshri Singh,15,34
Sheikh Wala+ Beroon Bonga,16,34
Rao Khan Wala,17,34
Rao Khan Wala,20,34
Rao Khan Wala,21,34
Rao Khan Wala,22,34
Rao Khan Wala,23,34
Rao Khan Wala,24,34
Rao Khan Wala,27,34
Rao Khan Wala,28,34
Rao Khan Wala,29,34
Rao Khan Wala,30,34
Kelo Kalan,1,35
Katba,2,35
Makkah Colony,3,35
Noor Pur Nehr,6,35
Chamray Wala Kho,7,35
Chuha Jharmat,8,35
Muft Pura,9,35
Kelo Khord,10,35
Noor Pur Nehr,13,35
Roshn Bheela,14,35
Roshn Bheela,15,35
Tariq Wala Kho,16,35
Kelo Kalan,17,35
Kelo Kalan,20,35
Katba,21,35
Noor Pur Nehr,22,35
Noor Pur Nehr,23,35
Noor Pur Nehr,24,35
Noor Pur Nehr,27,35
Roshn Bheela,28,35
Roshn Bheela,29,35
Roshn Bheela,30,35
Wegal,1,36
Wegal,2,36
Wegal,3,36
Wegal,6,36
Wegal,7,36
Wegal,8,36
Thay Panu,9,36
Kalyan,10,36
Kalyan,13,36
Lail,14,36
Lail,15,36
Saruay,16,36
Bhoja,17,36
Bhoja,20,36
Bhoja,21,36
Sarhali Kalan,22,36
Sarhali Kalan,23,36
Sarhali Kalan,24,36
Sarhali Kalan,27,36
Sarhali Kalan,28,36
Sarhali Kalan,29,36
Sarhali Kalan,30,36
Sehjra,1,37
Sehjra,2,37
Chant+ Doona,3,37
Mabukay,6,37
Mahi Wala,7,37
Bastian,8,37
Chanda Singh Wala,9,37
Fati Wala,10,37
Kamal Pura,13,37
Sultan Shah Wala,14,37
Sheikh Pura Nuh,15,37
Muhalim Kalan,16,37
Muhalim Kalan,17,37
Muhalim Kalan,20,37
Nagar Aeman Pura,21,37
Dhoop Sari,22,37
Mustayki,23,37
Kalanjarh+  Bhagarh,24,37
Bhakhi Wand,27,37
Haku Wala,28,37
Raji Wala,29,37
Sheikh Pura Kahna,30,37
Kotli Pathana,1,38
Fakiray Wala,2,38
Fakiray Wala+Bhatta Jaat,3,38
Tolo Wala,6,38
Tolo Wala,7,38
